推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
110/112/113,3~5歲,是,阿姆，謝謝妳！,歐葛．摩拉,歐葛．摩拉,宋珮,遠見天下文化(小天下),2020-07-01,109-07,翻譯,社會情緒,9789865535056,360
113,3~5歲,,是誰留下的痕跡,劉伯樂,劉伯樂,,信誼基金,2020-07-01,109-07,本土,認知探索、美感,9789861615561 ,280
111/112,3~5歲,,騎著恐龍去圖書館,劉思源,林小杯,,步步出版,2020-06-01,109.06,本土,社會情緒、認知探索,9789579380591,320
110,3~5歲,,歡迎光臨口罩動物村,黃芝瑩,黃芝瑩,,,2020-06-01,109-06,本土,健康與安全,9789575036119,
112,0~3歲,,一打開 大驚喜  一二三 哇！,新井洋行,新井洋行,張玲玲,格林文化,2020-05-01,10905,翻譯,,9789861899725,299
111,3~5歲,,明天，很有可能,戴夫．艾格斯,藍．史密斯,劉清彥,拾光工作室,2020-05-01,109.05,翻譯,語言溝通,9789869873604,330
111,0~3歲,,蔬菜白熊,柴田啟子,柴田啟子,Choyce,小魯文化,2020-05-01,109.05,翻譯,認知探索、健康與安全,9789865513306,300
111/112/113,3~5歲,是,甘伯伯的犀牛,約翰･伯寧罕,約翰･伯寧罕,吳娉婷,阿爾發國際,2020-05-01,109-05,翻譯,社會情緒,9789869413169,280
111/114,3~5歲,,我家是動物園,正道薰,大島妙子,游珮芸,上誼文化,2020-05-01,109/05,翻譯,語言溝通、社會情緒,9789577626868,250
111,3~5歲,,不管怎麼樣你都會愛我嗎？,黛比．葛莉歐利,黛比．葛莉歐利,李貞慧,采實文化,2020-04-01,109.04,翻譯,社會情緒、語言溝通、認知探索,9789865071172,320
111,3~5歲,,這條橡皮筋是我的,吉竹伸介,吉竹伸介,許婷婷,三采文化,2020-04-01,109.04,翻譯,認知探索,9789576583230,280
113/114,3~5歲,,123轉台灣,陳盈帆,陳盈帆,,聯經出版,2020-04-01,109/04,本土,語言溝通、認知探索,9789570854909 ,280
111,3~5歲,,等媽媽來的時候,張筱琦,張筱琦,,東方出版,2020-03-01,109.03,本土,社會情緒、生活自理、認知探索,9789863383079,280
111,0~3歲,,早安動物園,微笑先生（陳翠吟）,莉秦（黃莉秦）,,南一書局(親子時堂),2020-03-01,109.03,本土,身體動作、生活自理,9789574436552,270
111,0~3歲,,滾啊滾 睡覺覺,田中伸,田中伸,張玲玲,格林文化,2020-03-01,109.03,翻譯,生活自理、語言溝通,9789861899558,220
114,3~5歲,,我才沒有迷路,板橋雅弘,茂利勝彥,邱瓊慧,上誼文化,2020-03-01,109/03,翻譯,社會情緒、生活自理,9789577626806,280
112,3~5歲,,神奇大傘,艾美．瓊．貝茲、茱妮珀．貝茲,艾美．瓊．貝茲,劉清彥,遠見天下文化(小天下),2020-02-01,10902,翻譯,,9789864799138,350
111,0~3歲,,淘氣鴿子：我不想去上學！,莫‧威樂,莫‧威樂,吳愉萱,采實文化,2020-02-01,109.02,翻譯,社會情緒、語言溝通,9789865070854,320
110,0~3歲,,哈囉，大象太太！,珊曼．鮑頓,珊曼．鮑頓,謝維玲,,2020-02-01,109-02,翻譯,認知探索,9789579529181,
113,0~3歲,,比你更高！,慶惠媛,慶惠媛,賴毓棻,剛好閱讀,2020-02-01,109-02,翻譯,社會情緒、語言溝通,9789869694179,290
113,3~5歲,,HOME,林廉恩,林廉恩,,巴巴文化,2020-02-01,109-02,本土,社會情緒、語言溝通、美感,9789869743709,350
114,3~5歲,,送花給你,姜景琇（강경수）,姜景琇（강경수）,葉雨純,東方出版社,2020-02-01,109/02,翻譯,認知探索、健康與安全、美感,9789863383024,320
